file,frame,backend,noise_sigma,roi_size,n_gt_daughters,n_pred_daughters,mother_precision,mother_recall,mother_f1,mother_accuracy,mother_iou,daughter_precision,daughter_recall,daughter_f1,daughter_accuracy,daughter_iou,combined_precision,combined_recall,combined_f1,combined_accuracy,combined_iou,daughter_obj_precision,daughter_obj_recall,daughter_obj_f1,daughter_obj_accuracy,tp_objects,fp_objects,fn_objects
Experiment-1325.czi,256,cellpose,0.0,full,0,0,0.0,0.0,0.0,0.6393056313269079,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6393056313269079,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1325.czi,342,watershed,0.0,full,0,0,0.0,0.0,0.0,0.5642162211311148,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5642162211311148,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1325.czi,342,active_contour,0.0,full,0,0,0.0,0.0,0.0,0.5642162211311148,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5642162211311148,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1325.czi,342,stardist,0.0,full,0,0,0.0,0.0,0.0,0.5642162211311148,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5642162211311148,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1325.czi,342,cellpose,0.0,full,0,0,0.0,0.0,0.0,0.5642162211311148,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5642162211311148,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1326.czi,0,watershed,0.0,full,0,0,0.0,0.0,0.0,0.6425123456790124,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6425123456790124,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1326.czi,0,active_contour,0.0,full,0,0,0.0,0.0,0.0,0.6425123456790124,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6425123456790124,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1326.czi,0,stardist,0.0,full,0,0,0.0,0.0,0.0,0.6425123456790124,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6425123456790124,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1326.czi,0,cellpose,0.0,full,0,0,0.0,0.0,0.0,0.6425123456790124,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6425123456790124,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1326.czi,86,watershed,0.0,full,1,0,0.0,0.0,0.0,0.7219135802469135,0.0,0.0,0.0,0.0,0.9777037037037037,0.0,0.0,0.0,0.0,0.7219135802469135,0.0,0.0,0.0,0.0,0.0,0,0,1
Experiment-1326.czi,86,active_contour,0.0,full,1,0,0.0,0.0,0.0,0.7219135802469135,0.0,0.0,0.0,0.0,0.9777037037037037,0.0,0.0,0.0,0.0,0.7219135802469135,0.0,0.0,0.0,0.0,0.0,0,0,1
Experiment-1326.czi,86,stardist,0.0,full,1,0,0.0,0.0,0.0,0.7219135802469135,0.0,0.0,0.0,0.0,0.9777037037037037,0.0,0.0,0.0,0.0,0.7219135802469135,0.0,0.0,0.0,0.0,0.0,0,0,1
Experiment-1326.czi,86,cellpose,0.0,full,1,0,0.0,0.0,0.0,0.7219135802469135,0.0,0.0,0.0,0.0,0.9777037037037037,0.0,0.0,0.0,0.0,0.7219135802469135,0.0,0.0,0.0,0.0,0.0,0,0,1
Experiment-1326.czi,171,watershed,0.0,full,1,0,1.0,0.09091313733781407,0.166673466889714,0.7478518518518519,0.09091313733781407,0.0,0.0,0.0,0.9783703703703703,0.0,1.0,0.09091313733781407,0.166673466889714,0.7478518518518519,0.09091313733781407,0.0,0.0,0.0,0.0,0,0,1
Experiment-1326.czi,171,active_contour,0.0,full,1,1,1.0,0.09091313733781407,0.166673466889714,0.7478518518518519,0.09091313733781407,0.2256586483390607,0.05622146118721461,0.09001599268905643,0.9754135802469136,0.04712918660287081,1.0,0.10511205572741637,0.19022877396487836,0.7517901234567901,0.10511205572741637,0.0,0.0,0.0,0.0,0,1,1
Experiment-1326.czi,171,stardist,0.0,full,1,0,1.0,0.09091313733781407,0.166673466889714,0.7478518518518519,0.09091313733781407,0.0,0.0,0.0,0.9783703703703703,0.0,1.0,0.09091313733781407,0.166673466889714,0.7478518518518519,0.09091313733781407,0.0,0.0,0.0,0.0,0,0,1
Experiment-1326.czi,171,cellpose,0.0,full,1,0,1.0,0.09091313733781407,0.166673466889714,0.7478518518518519,0.09091313733781407,0.0,0.0,0.0,0.9783703703703703,0.0,1.0,0.09091313733781407,0.166673466889714,0.7478518518518519,0.09091313733781407,0.0,0.0,0.0,0.0,0,0,1
Experiment-1326.czi,256,watershed,0.0,full,0,0,0.0,0.0,0.0,0.719679012345679,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.719679012345679,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1326.czi,256,active_contour,0.0,full,0,0,0.0,0.0,0.0,0.719679012345679,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.719679012345679,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1326.czi,256,stardist,0.0,full,0,0,0.0,0.0,0.0,0.719679012345679,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.719679012345679,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1326.czi,256,cellpose,0.0,full,0,0,0.0,0.0,0.0,0.719679012345679,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.719679012345679,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1326.czi,342,watershed,0.0,full,1,0,0.0,0.0,0.0,0.7406049382716049,0.0,0.0,0.0,0.0,0.9624814814814815,0.0,0.0,0.0,0.0,0.7406049382716049,0.0,0.0,0.0,0.0,0.0,0,0,1
Experiment-1326.czi,342,active_contour,0.0,full,1,0,0.0,0.0,0.0,0.7406049382716049,0.0,0.0,0.0,0.0,0.9624814814814815,0.0,0.0,0.0,0.0,0.7406049382716049,0.0,0.0,0.0,0.0,0.0,0,0,1
Experiment-1326.czi,342,stardist,0.0,full,1,1,0.0,0.0,0.0,0.7406049382716049,0.0,0.0,0.0,0.0,0.9621481481481482,0.0,0.0,0.0,0.0,0.7406049382716049,0.0,0.0,0.0,0.0,0.0,0,1,1
Experiment-1326.czi,342,cellpose,0.0,full,1,0,0.0,0.0,0.0,0.7406049382716049,0.0,0.0,0.0,0.0,0.9624814814814815,0.0,0.0,0.0,0.0,0.7406049382716049,0.0,0.0,0.0,0.0,0.0,0,0,1
